S/N,TREATMENT,DIAMETER,HEIGHT,NO.LEAVES
1,TN,6.67,38,13
2,TN,5.85,32,12
3,TN,5.69,32,12
4,TN,5.32,37,12
5,TN,5.37,41.5,11
6,TN,5.26,29,14
7,TN,4.73,32.5,12
8,TN,5.94,30,11
9,TN,5.55,36,11
10,TN,5.38,22.5,11
11,TN,5.99,32,11
12,TN,5.95,36,12
13,TN,4.08,29,12
14,TN,6.27,29.5,11
15,T1,5.24,27,8
16,T1,2.64,5,5
17,T1,4.47,22,10
18,T1,5.6,32,10
19,T1,4.91,35,11
20,T1,6.2,27,13
21,T1,6.62,36,15
22,T1,5.95,35,12
23,T1,5.67,32,15
24,T1,5.87,23.5,13
25,T1,5.09,29,12
26,T1,5.8,24,12
27,T2,5.83,36.5,14
28,T2,5.4,28,7
29,T2,5.02,23.5,9
30,T2,6.81,37,13
31,T2,4.45,26.6,11
32,T2,4.92,29,11
33,T2,5.34,41,13
34,T2,6.62,35,13
35,T2,4.94,19,10
36,T2,5.72,26,13
37,T2,7.95,41.5,11
38,T2,5.12,27.5,10
39,T2,3.4,11,11
40,T2,5.88,24,12
